holiday,temp,rain,snow,weather,traffic_volume,year,month,day,hour,minute,second
7,288.28,0,0,1,5545,2012,10,2,9,0,0
7,289.36,0,0,1,4516,2012,10,2,10,0,0
7,289.58,0,0,1,4767,2012,10,2,11,0,0
7,290.13,0,0,1,5026,2012,10,2,12,0,0
7,291.14,0,0,1,4918,2012,10,2,13,0,0
7,291.72,0,0,8,5181,2012,10,2,14,0,0
7,293.17,0,0,8,5584,2012,10,2,15,0,0
7,293.86,0,0,8,6015,2012,10,2,16,0,0
7,294.14,0,0,1,5791,2012,10,2,17,0,0
7,293.1,0,0,1,4770,2012,10,2,18,0,0
7,290.97,0,0,1,3539,2012,10,2,19,0,0
7,289.38,0,0,8,2784,2012,10,2,20,0,0
7,288.61,0,0,8,2361,2012,10,2,21,0,0
7,287.16,0,0,8,1529,2012,10,2,22,0,0
7,285.45,0,0,8,963,2012,10,2,23,0,0
7,284.63,0,0,8,506,2012,10,3,0,0,0
7,283.47,0,0,8,321,2012,10,3,1,0,0
7,281.18,0,0,8,273,2012,10,3,2,0,0
7,281.09,0,0,8,367,2012,10,3,3,0,0
7,279.53,0,0,8,814,2012,10,3,4,0,0
7,278.62,0,0,8,2718,2012,10,3,5,0,0
7,278.23,0,0,8,5673,2012,10,3,6,0,0
7,278.12,0,0,8,6511,2012,10,3,8,0,0
7,280.8,0,0,8,5471,2012,10,3,9,0,0
7,291.97,0,0,8,5097,2012,10,3,12,0,0
7,293.23,0,0,8,4887,2012,10,3,13,0,0
7,294.31,0,0,8,5337,2012,10,3,14,0,0
7,295.17,0,0,8,5692,2012,10,3,15,0,0
7,295.13,0,0,8,6137,2012,10,3,16,0,0
7,285.795,0,0,1,4623,2012,10,3,18,0,0
7,290.65,0,0,1,3591,2012,10,3,19,0,0
7,288.19,0,0,1,2898,2012,10,3,20,0,0
7,287.1,0,0,8,2637,2012,10,3,21,0,0
7,286.25,0,0,8,1777,2012,10,3,22,0,0
7,285.26,0,0,8,1015,2012,10,3,23,0,0
7,284.55,0,0,8,598,2012,10,4,0,0,0
7,283.47,0,0,8,369,2012,10,4,1,0,0
7,283.17,0,0,8,312,2012,10,4,2,0,0
7,282.04,0,0,8,367,2012,10,4,3,0,0
7,281.69,0,0,8,835,2012,10,4,4,0,0
7,281.32,0,0,8,2726,2012,10,4,5,0,0
7,280.74,0,0,8,5689,2012,10,4,6,0,0
7,280.57,0,0,8,6990,2012,10,4,7,0,0
7,279.95,0,0,8,5985,2012,10,4,8,0,0
7,284.98,0,0,8,5309,2012,10,4,9,0,0
7,289.18,0,0,8,4603,2012,10,4,10,0,0
7,291.55,0,0,8,4884,2012,10,4,11,0,0
7,294.97,0,0,8,5104,2012,10,4,12,0,0
7,296.38,0,0,8,5178,2012,10,4,13,0,0
7,297.32,0,0,8,5501,2012,10,4,14,0,0
7,298.17,0,0,8,5713,2012,10,4,15,0,0
7,298.06,0,0,1,6292,2012,10,4,16,0,0
7,297.67,0,0,1,6057,2012,10,4,17,0,0
7,296.36,0,0,1,4907,2012,10,4,18,0,0
7,293.85,0,0,1,3503,2012,10,4,19,0,0
7,292.43,0,0,1,3037,2012,10,4,20,0,0
7,291.77,0,0,1,2822,2012,10,4,21,0,0
7,282.135,0,0,1,1992,2012,10,4,22,0,0
7,291.12,0,0,1,1166,2012,10,4,23,0,0
7,290.63,0,0,1,627,2012,10,5,0,0,0
7,290.46,0,0,1,388,2012,10,5,1,0,0
7,289.26,0,0,8,368,2012,10,5,3,0,0
7,283.21,0,0,1,2489,2012,10,5,5,0,0
7,282.24,0,0,1,5537,2012,10,5,6,0,0
7,281.69,0,0,1,6628,2012,10,5,7,0,0
7,280.57,0,0,1,5534,2012,10,5,8,0,0
7,280.02,0,0,1,5403,2012,10,5,9,0,0
7,280.11,0,0,1,4770,2012,10,5,10,0,0
7,280,0,0,1,5217,2012,10,5,11,0,0
7,280.53,0,0,1,5870,2012,10,5,12,0,0
7,281.43,0,0,1,5967,2012,10,5,13,0,0
7,281.78,0,0,1,6108,2012,10,5,14,0,0
7,286.28,0,0,1,6128,2012,10,5,15,0,0
7,281.73,0,0,1,6069,2012,10,5,16,0,0
7,281.42,0,0,1,6169,2012,10,5,17,0,0
7,280.87,0,0,1,5384,2012,10,5,18,0,0
7,280.15,0,0,1,4063,2012,10,5,19,0,0
7,279.78,0,0,1,3364,2012,10,5,20,0,0
7,279.65,0,0,1,2971,2012,10,5,21,0,0
7,279.22,0,0,1,2450,2012,10,5,22,0,0
7,279.06,0,0,1,1832,2012,10,5,23,0,0
7,280.865,0,0,1,1231,2012,10,6,0,0,0
7,278.55,0,0,1,718,2012,10,6,1,0,0
7,278.59,0,0,1,545,2012,10,6,2,0,0
7,276.99,0,0,1,411,2012,10,6,4,0,0
7,276.35,0,0,1,688,2012,10,6,5,0,0
7,275.4,0,0,8,1352,2012,10,6,6,0,0
7,275.17,0,0,8,2072,2012,10,6,7,0,0
7,274.99,0,0,8,3342,2012,10,6,8,0,0
7,275.09,0,0,1,4258,2012,10,6,9,0,0
7,276.88,0,0,1,4861,2012,10,6,10,0,0
7,278.04,0,0,1,5191,2012,10,6,11,0,0
7,279.08,0,0,1,5669,2012,10,6,12,0,0
7,280.12,0,0,1,5074,2012,10,6,13,0,0
7,280.25,0,0,1,5025,2012,10,6,14,0,0
7,280,0,0,1,5153,2012,10,6,15,0,0
7,286.06,0,0,1,5024,2012,10,6,16,0,0
7,278.91,0,0,1,4779,2012,10,6,17,0,0
7,278.39,0,0,1,4362,2012,10,6,18,0,0
7,278.16,0,0,1,3860,2012,10,6,19,0,0
7,278.16,0,0,1,3160,2012,10,6,20,0,0
7,277.93,0,0,1,2992,2012,10,6,21,0,0
7,276.9,0,0,1,3202,2012,10,6,22,0,0
7,276.34,0,0,1,1941,2012,10,6,23,0,0
7,276.11,0,0,1,1233,2012,10,7,0,0,0
7,275.73,0,0,1,323,2012,10,7,3,0,0
7,275.65,0,0,1,312,2012,10,7,4,0,0
7,275.51,0,0,1,627,2012,10,7,5,0,0
7,275.05,0,0,1,1508,2012,10,7,6,0,0
7,274.77,0,0,1,1539,2012,10,7,7,0,0
7,274.77,0,0,1,2232,2012,10,7,8,0,0
7,275.55,0,0,1,4568,2012,10,7,9,0,0
7,276.24,0,0,1,4624,2012,10,7,10,0,0
7,277.01,0,0,1,4529,2012,10,7,11,0,0
7,277.43,0,0,1,5139,2012,10,7,12,0,0
7,278.45,0,0,1,6640,2012,10,7,13,0,0
7,279.27,0,0,1,6589,2012,10,7,14,0,0
7,286.28,0,0,1,4429,2012,10,7,15,0,0
7,279.44,0,0,1,4329,2012,10,7,16,0,0
7,279.32,0,0,1,3833,2012,10,7,17,0,0
7,279.27,0,0,1,4015,2012,10,7,18,0,0
7,278.11,0,0,1,3382,2012,10,7,19,0,0
7,276.79,0,0,1,2815,2012,10,7,20,0,0
7,275.73,0,0,1,2110,2012,10,7,21,0,0
7,274.88,0,0,1,1555,2012,10,7,22,0,0
7,273.92,0,0,1,959,2012,10,7,23,0,0
1,273.08,0,0,1,455,2012,10,8,0,0,0
7,272.62,0,0,1,336,2012,10,8,1,0,0
7,271.78,0,0,8,265,2012,10,8,2,0,0
7,280.75,0,0,8,314,2012,10,8,3,0,0
7,270.63,0,0,8,779,2012,10,8,4,0,0
7,270.33,0,0,8,2571,2012,10,8,5,0,0
7,269.61,0,0,1,5563,2012,10,8,6,0,0
7,270.01,0,0,1,6676,2012,10,8,7,0,0
7,271.23,0,0,1,5966,2012,10,8,8,0,0
7,273.71,0,0,1,4832,2012,10,8,9,0,0
7,276.77,0,0,1,4395,2012,10,8,10,0,0
7,279.47,0,0,1,4411,2012,10,8,11,0,0
7,279.84,0,0,8,4648,2012,10,8,12,0,0
7,282.34,0,0,1,4602,2012,10,8,13,0,0
7,282.94,0,0,1,5125,2012,10,8,14,0,0
7,283.48,0,0,8,5502,2012,10,8,15,0,0
7,284.33,0,0,8,5979,2012,10,8,16,0,0
7,284.48,0,0,1,5663,2012,10,8,17,0,0
7,284.23,0,0,1,4259,2012,10,8,18,0,0
7,281.99,0,0,1,3069,2012,10,8,19,0,0
7,279.81,0,0,8,2378,2012,10,8,20,0,0
7,279.35,0,0,8,2030,2012,10,8,21,0,0
7,278.9,0,0,8,1400,2012,10,8,22,0,0
7,278.46,0,0,8,917,2012,10,8,23,0,0
